designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J091949.65-000415.0,139.9569154,-0.0708402 ,232.0281004,32.4289134 ,13.512,0.025    ,13.288,0.032    ,11.864,0.291    ,8.636 ,null     ,14.629   ,0.037       ,14.074   ,0.038       ,13.782   ,0.058       ,0.0290     
J092704.04+164129.1,141.7668545,16.6914287 ,214.3691216,41.7885928 ,15.095,0.038    ,14.897,0.077    ,11.978,0.329    ,8.080 ,null     ,16.048   ,0.078       ,15.557   ,0.110       ,15.129   ,0.110       ,0.0317     
J092840.74+220557.1,142.1697577,22.0992005 ,207.5790521,43.9436000 ,13.717,0.025    ,13.622,0.035    ,11.724,0.249    ,8.623 ,null     ,14.804   ,0.034       ,14.149   ,0.034       ,13.846   ,0.037       ,0.0269     
J092853.50+570735.2,142.2229426,57.1264582 ,158.3321376,43.5788325 ,14.582,0.029    ,14.178,0.038    ,11.915,0.232    ,8.350 ,null     ,15.899   ,0.081       ,15.078   ,0.075       ,14.768   ,0.107       ,0.0324     
J093039.32+163252.9,142.6638590,16.5480328 ,214.9797206,42.5332434 ,14.184,0.029    ,13.956,0.043    ,11.816,0.282    ,8.270 ,null     ,15.344   ,0.054       ,14.732   ,0.062       ,14.462   ,0.071       ,0.0330     
J093107.09+100606.9,142.7795481,10.1019341 ,222.8463794,39.9596481 ,14.430,0.030    ,14.034,0.044    ,11.154,0.173    ,8.170 ,0.254    ,15.560   ,0.082       ,15.023   ,0.066       ,14.533   ,0.098       ,0.0374     
J094432.78+164605.1,146.1366086,16.7681028 ,216.4239635,45.7023337 ,13.676,0.027    ,13.549,0.034    ,12.081,0.343    ,8.899 ,null     ,14.663   ,0.032       ,13.982   ,0.043       ,13.834   ,0.049       ,0.0324     
J094455.62+313727.9,146.2317707,31.6244417 ,195.0232305,49.4221749 ,13.991,0.026    ,13.841,0.038    ,12.081,0.350    ,8.283 ,null     ,14.944   ,0.031       ,14.323   ,0.037       ,14.023   ,0.040       ,0.0203     
J094551.48+081241.9,146.4645023,8.2116486  ,227.3416424,42.2715583 ,14.680,0.031    ,14.518,0.057    ,11.992,0.317    ,8.671 ,null     ,15.860   ,0.090       ,14.961   ,0.063       ,15.099   ,0.165       ,0.0312     
J095312.75+263553.0,148.3031458,26.5980690 ,203.1692757,50.4630130 ,15.371,0.042    ,15.205,0.087    ,12.091,0.338    ,9.041 ,null     ,16.627   ,0.142       ,16.038   ,0.148       ,15.554   ,0.181       ,0.0194     
